step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.88734,0.77778,,
2,2.94284,0.66667,,
3,3.42414,0.66667,,
4,4.56702,0.66667,,
5,3.70544,0.66667,,
6,1.5368,0.88889,,
7,3.94221,0.66667,,
8,6.49736,0.66667,,
9,2.48474,0.77778,,
10,4.53996,0.77778,,
11,1.48963,0.88889,,
12,4.65911,0.66667,,
13,1.69776,0.77778,,
14,1.8541,0.66667,,
15,1.78277,0.77778,,
16,3.5779,0.66667,,
17,1.40034,0.66667,,
18,3.96021,0.77778,,
19,4.84457,0.66667,,
20,2.09303,0.66667,,
21,4.70269,0.66667,,
22,1.42796,0.77778,,
23,1.00169,0.88889,,
24,3.46563,0.77778,,
25,4.50753,0.77778,,
26,3.56984,0.77778,,
27,1.79021,0.77778,,
28,2.76417,0.77778,,
29,3.64202,0.77778,,
30,0.82839,0.88889,,
31,1.37876,0.66667,,
32,1.42549,0.88889,,
33,6.50434,0.66667,,
34,3.8906,0.66667,,
35,2.82136,0.66667,,
36,1.72276,0.77778,,
37,1.82855,0.66667,,
38,3.57319,0.66667,,
39,3.96367,0.77778,,
40,1.81503,0.77778,,
41,4.45907,0.66667,,
42,3.47794,0.77778,,
43,8.45195,0.66667,,
44,1.17086,0.88889,,
45,0.91758,0.77778,,
46,1.46576,0.77778,,
47,1.25422,0.88889,,
48,1.3495,0.88889,,
49,0.98112,0.77778,,
50,0.78431,0.88889,,
51,1.60855,0.66667,,
52,1.66232,0.77778,,
53,0.86222,0.88889,,
54,1.19603,0.77778,,
55,0.89756,0.88889,,
56,3.06713,0.88889,,
57,3.37038,0.88889,,
58,2.98964,0.88889,,
59,0.47448,0.88889,,
60,0.80056,0.88889,,
61,0.74663,0.88889,,
62,6.94329,0.66667,,
63,3.46322,0.77778,,
64,2.93348,0.88889,,
65,0.05332,1.0,,
66,0.23658,0.88889,,
67,0.28667,0.88889,,
68,0.47456,0.88889,,
69,0.12706,0.88889,,
70,0.32595,0.77778,,
71,5.07004,0.77778,,
72,2.61912,0.88889,,
73,0.18919,0.88889,,
74,2.52803,0.88889,,
75,0.10839,0.88889,,
76,0.00054,1.0,,
77,0.00012,1.0,,
78,2.12778,0.88889,,
79,3.81971,0.77778,,
80,0.21311,0.88889,,
81,2.41772,0.88889,,
82,2.5583,0.88889,,
83,0.27803,0.88889,,
84,0.00018,1.0,,
85,0.00107,1.0,,
86,5.05573,0.77778,,
87,0.00016,1.0,,
88,0.00014,1.0,,
89,0.00016,1.0,,
90,8e-05,1.0,,
91,1.72248,0.88889,,
92,0.00024,1.0,,
93,0.00018,1.0,,
94,0.00011,1.0,,
95,0.00011,1.0,,
96,2.1396,0.88889,,
97,2.36118,0.88889,,
98,1.94461,0.88889,,
99,1.68226,0.88889,,
100,0.00024,1.0,,
101,9e-05,1.0,,
102,6e-05,1.0,,
103,2.11121,0.88889,,
104,0.0001,1.0,,
105,0.00061,1.0,,
106,2.43063,0.88889,,
107,0.55663,0.88889,,
108,0.0001,1.0,,
109,3.33346,0.77778,,
110,2.08356,0.88889,,
111,5e-05,1.0,,
112,1.86285,0.77778,,
113,1.67439,0.77778,,
114,7e-05,1.0,,
115,7e-05,1.0,,
116,1.00036,0.88889,,
117,5e-05,1.0,,
118,1.33364,0.88889,,
119,0.00018,1.0,,
120,9e-05,1.0,,
121,0.0001,1.0,,
122,9e-05,1.0,,
123,0.00073,1.0,,
124,6e-05,1.0,,
125,2.22229,0.88889,,
126,1.59735,0.88889,,
127,0.0002,1.0,,
128,6e-05,1.0,,
129,0.0001,1.0,,
130,0.10873,0.88889,,
131,4e-05,1.0,,
132,1.68062,0.88889,,
133,0.0001,1.0,,
134,1.44458,0.88889,,
135,3.05559,0.77778,,
136,0.00043,1.0,,
137,3.41673,0.66667,,
138,0.00015,1.0,,
139,7e-05,1.0,,
140,0.0002,1.0,,
141,1.8616,0.77778,,
142,0.00027,1.0,,
143,6e-05,1.0,,
144,4e-05,1.0,,
145,1.43094,0.77778,,
146,1.50005,0.88889,,
147,0.00033,1.0,,
148,3.66676,0.66667,,
149,0.10831,0.88889,,
150,0.2364,0.88889,,
151,8e-05,1.0,,
152,0.00013,1.0,,
153,0.26125,0.88889,,
154,0.00012,1.0,,
155,8e-05,1.0,,
156,0.00245,1.0,,
157,0.91677,0.88889,,
