step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.16789,0.86667,,
2,1.11235,0.8,,
3,1.65285,0.73333,,
4,1.35801,0.8,,
5,2.90009,0.73333,,
6,2.63627,0.8,,
7,1.50776,0.73333,,
8,1.06897,0.86667,,
9,3.05761,0.66667,,
10,5.22611,0.73333,,
11,1.10058,0.73333,,
12,1.03457,0.86667,,
13,2.78503,0.8,,
14,2.74268,0.73333,,
15,2.64969,0.73333,,
16,4.42809,0.66667,,
17,3.1945,0.8,,
18,4.18911,0.66667,,
19,4.73111,0.66667,,
20,3.93181,0.73333,,
21,2.91613,0.73333,,
22,1.35965,0.73333,,
23,1.01967,0.8,,
24,1.19725,0.8,,
25,3.43362,0.73333,,
26,2.58387,0.66667,,
27,1.63752,0.8,,
28,0.67715,0.93333,,
29,3.47345,0.73333,,
30,0.85611,0.86667,,
31,2.54821,0.73333,,
32,2.34741,0.8,,
33,1.00039,0.86667,,
34,0.91779,0.93333,,
35,3.46418,0.73333,,
36,2.15483,0.73333,,
37,1.29628,0.8,,
38,2.24707,0.8,,
39,0.74121,0.86667,,
40,1.5024,0.86667,,
41,2.07599,0.86667,,
42,2.59864,0.8,,
43,2.35788,0.8,,
44,0.4281,0.93333,,
45,0.48559,0.93333,,
46,2.15387,0.8,,
47,2.04958,0.8,,
48,4.84426,0.8,,
49,1.59471,0.8,,
50,0.59305,0.93333,,
51,0.37382,0.93333,,
52,3.72604,0.8,,
53,0.30732,0.93333,,
54,0.43346,0.86667,,
55,1.28936,0.86667,,
56,0.88846,0.86667,,
57,2.89497,0.86667,,
58,1.85425,0.73333,,
59,1.53577,0.93333,,
60,1.07561,0.93333,,
61,0.00561,1.0,,
62,0.00209,1.0,,
63,0.16307,0.86667,,
64,1.98062,0.86667,,
65,1.20887,0.93333,,
66,0.26825,0.93333,,
67,0.57653,0.93333,,
68,1.4896,0.86667,,
69,1.15866,0.86667,,
70,1.15928,0.93333,,
71,0.06516,1.0,,
72,0.00277,1.0,,
73,2.55045,0.86667,,
74,0.40028,0.93333,,
75,1.56715,0.93333,,
76,2.34624,0.86667,,
77,0.9178,0.93333,,
78,1.57206,0.93333,,
79,1.17842,0.93333,,
80,0.09204,0.93333,,
81,2.0004,0.86667,,
82,0.01078,1.0,,
83,1.77369,0.8,,
84,0.00269,1.0,,
85,1.28884,0.93333,,
86,1.3212,0.93333,,
87,1.3258,0.93333,,
88,0.00013,1.0,,
89,0.0045,1.0,,
90,1.51465,0.93333,,
91,1.55011,0.93333,,
92,0.21379,0.86667,,
93,0.91686,0.93333,,
94,1.49645,0.86667,,
95,1.44301,0.93333,,
96,7e-05,1.0,,
97,1.61697,0.86667,,
98,2.20007,0.86667,,
99,0.00039,1.0,,
100,3.40109,0.73333,,
101,0.16362,0.93333,,
102,1.05437,0.86667,,
103,1.10051,0.93333,,
104,0.00043,1.0,,
105,1.27525,0.93333,,
106,0.00113,1.0,,
107,2.20901,0.86667,,
108,8e-05,1.0,,
109,0.00147,1.0,,
110,0.91681,0.93333,,
111,0.00035,1.0,,
112,1.76694,0.86667,,
113,1.22536,0.93333,,
114,0.85879,0.93333,,
115,0.07957,0.93333,,
116,1.85978,0.86667,,
117,0.12746,0.93333,,
118,0.96751,0.93333,,
119,1.53023,0.86667,,
120,8e-05,1.0,,
121,0.98668,0.93333,,
122,0.78358,0.93333,,
